Area,City,NPS,NPS Label,Ambience And Atmosphere,Curriculum and Activities,Visit Booking Process,Environment And Facilities,Information and Experience,Questions,Nutritious Meals,Value For Money,Survey Response Date [GMT],Responded Week Starting on [GMT],Survey Sent Date [GMT],Start Date,NPS Feedback Categories,Improvement Feedback Categories,Response Month (YYYY-MM),Response Year (YYYY),Response Quarter (YYYY-Q#),Workflow Status,Last Modified Date,Division
13,Calliope,9,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,18/02/2022 0:00,14/02/2022 0:00,18/02/2022 0:00,15/02/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities"",""Head Office Interactions""",,2022-02,2022,2022-Q1,Closed,16/03/2022 13:32,Green
3,Gracemere,10,Promoter,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,18/02/2022 0:00,14/02/2022 0:00,09/02/2022 0:00,03/02/2022 0:00,"""Cleanliness & Hygiene"",""Curriculum & Programs""",,2022-02,2022,2022-Q1,In Progress,08/03/2022 15:23,Red
13,Port Denison,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,18/02/2022 0:00,14/02/2022 0:00,09/02/2022 0:00,04/02/2022 0:00,"""Campus Directors & Educators""",,2022-02,2022,2022-Q1,Closed,10/03/2022 15:21,Green
19,New Norfolk,7,Neutral,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,18/02/2022 0:00,14/02/2022 0:00,18/02/2022 0:00,14/02/2022 0:00,"""Environment & Facilities""",,2022-02,2022,2022-Q1,Closed,10/05/2022 18:43,Blue
12,Gawler,4,Detractor,4. Agree,3. Neither Agree nor Disagree,4. Agree,3. Neither Agree nor Disagree,4. Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,17/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,10/02/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Food & Nutrition""","""Food & Nutrition""",2022-02,2022,2022-Q1,Pending,17/02/2022 20:53,Blue
10,Port Macquarie,9,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,17/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,11/02/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""",,2022-02,2022,2022-Q1,Closed,28/02/2022 9:23,Green
14,Canberra,9,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,10/02/2022 0:00,"""Campus Directors & Educators""","""Curriculum & Programs""",2022-02,2022,2022-Q1,None,,Green
10,Wallan,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,14/02/2022 0:00,"""Cleanliness & Hygiene""",,2022-02,2022,2022-Q1,Closed,01/03/2022 12:36,Blue
2,Kilmore,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,14/02/2022 0:00,"""Campus Directors & Educators"",""Communication"",""Curriculum & Programs"",""Head Office Interactions""",,2022-02,2022,2022-Q1,Closed,01/03/2022 9:41,Purple
5,Bunbury,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,14/02/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs""",,2022-02,2022,2022-Q1,Closed,14/03/2022 9:54,Red
23,Shepparton,9,Promoter,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,16/02/2022 0:00,14/02/2022 0:00,04/02/2022 0:00,02/02/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities"",""Head Office Interactions""",,2022-02,2022,2022-Q1,None,,Green
11,Peterborough,8,Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,16/02/2022 0:00,14/02/2022 0:00,04/02/2022 0:00,02/02/2022 0:00,"""Curriculum & Programs""","""Food & Nutrition""",2022-02,2022,2022-Q1,None,,Blue
13,Gympie,8,Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,2. Disagree,16/02/2022 0:00,14/02/2022 0:00,04/02/2022 0:00,03/02/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Fees"",""Head Office Interactions""",,2022-02,2022,2022-Q1,None,,Green
13,Port Denison,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,10/02/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",,2022-02,2022,2022-Q1,Closed,10/03/2022 15:22,Green
14,Cowra,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,14/02/2022 0:00,"""Campus Directors & Educators"",""Communication"",""Curriculum & Programs"",""Head Office Interactions""",,2022-02,2022,2022-Q1,Pending,16/02/2022 20:52,Green
11,Moss Vale,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,10/02/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Environment & Facilities"",""Head Office Interactions""",,2022-02,2022,2022-Q1,Closed,22/04/2022 11:04,Green
7,Queenstown,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,11/02/2022 0:00,"""Campus Directors & Educators""",,2022-02,2022,2022-Q1,Closed,01/03/2022 18:20,Blue
17,Sunbury,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,14/02/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs""",,2022-02,2022,2022-Q1,Closed,03/03/2022 11:14,Green
9,Armidale,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,10/02/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",,2022-02,2022,2022-Q1,Closed,01/03/2022 12:24,Blue
22,Barwon Heads,8,Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,09/02/2022 0:00,"""Environment & Facilities""",,2022-02,2022,2022-Q1,None,,Green
5,Biloela,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,14/02/2022 0:00,"""Communication""",,2022-02,2022,2022-Q1,Closed,10/03/2022 14:53,Red
7,Rockhampton,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,10/02/2022 0:00,"""Curriculum & Programs"",""Environment & Facilities"",""Food & Nutrition""",,2022-02,2022,2022-Q1,Closed,01/03/2022 18:23,Blue
18,Wynyard,5,Detractor,2. Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,4. Agree,3. Neither Agree nor Disagree,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,14/02/2022 0:00,"""Curriculum & Programs""",,2022-02,2022,2022-Q1,In Progress,17/02/2022 10:33,Green
18,Dromana,0,Detractor,1. Strongly Disagree,3. Neither Agree nor Disagree,5. Strongly Agree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,4. Agree,1. Strongly Disagree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,14/02/2022 0:00,"""Accounts & Billing Interactions"",""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs"",""Environment & Facilities"",""Fees""","""Communication"",""Curriculum & Programs"",""Food & Nutrition""",2022-02,2022,2022-Q1,Closed,28/03/2022 10:48,Green
10,Weipa,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,14/02/2022 0:00,"""Campus Directors & Educators"",""Communication"",""Curriculum & Programs"",""Food & Nutrition""",,2022-02,2022,2022-Q1,Pending,16/02/2022 20:53,Blue
5,Yarrawonga,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,11/02/2022 0:00,"""Campus Directors & Educators""",,2022-02,2022,2022-Q1,Pending,16/02/2022 20:53,Red
17,Currumbin,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,11/02/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities"",""Threat of Leaving""",,2022-02,2022,2022-Q1,Closed,28/02/2022 12:16,Green
5,Barcaldine,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,09/02/2022 0:00,"""Environment & Facilities""",,2022-02,2022,2022-Q1,Closed,29/04/2022 10:03,Red
24,Bacchus Marsh,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,10/02/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs""",,2022-02,2022,2022-Q1,Pending,16/02/2022 20:53,Purple
2,Gladstone,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,14/02/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs""",,2022-02,2022,2022-Q1,Closed,28/02/2022 14:06,Red
13,Port Denison,9,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,11/02/2022 0:00,"""Head Office Interactions""","""Campus Directors & Educators"",""Curriculum & Programs"",""Threat of Leaving""",2022-02,2022,2022-Q1,None,,Green
11,Dalby,9,Promoter,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,14/02/2022 0:00,"""App & Child Updates"",""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Communication"",""Head Office Interactions""",,2022-02,2022,2022-Q1,None,,Purple
13,Gympie,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,10/02/2022 0:00,"""Environment & Facilities""",,2022-02,2022,2022-Q1,Closed,02/03/2022 13:00,Green
21,Moranbah,8,Neutral,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,14/02/2022 0:00,"""Campus Directors & Educators""",,2022-02,2022,2022-Q1,Closed,28/02/2022 16:00,Orange
17,Emerald,9,Promoter,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,11/02/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",,2022-02,2022,2022-Q1,None,,Green
20,Helensburgh,8,Neutral,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,10/02/2022 0:00,"""Communication""",,2022-02,2022,2022-Q1,Closed,07/03/2022 15:51,Purple
11,Deniliquin,9,Promoter,5. Strongly Agree,5. Strongly Agree,2. Disagree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,16/02/2022 0:00,14/02/2022 0:00,09/02/2022 0:00,03/02/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs""",,2022-02,2022,2022-Q1,None,,Green
17,Tom Price,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,16/02/2022 0:00,14/02/2022 0:00,16/02/2022 0:00,11/02/2022 0:00,"""Head Office Interactions""",,2022-02,2022,2022-Q1,Closed,03/03/2022 17:51,Green
7,Casino,9,Promoter,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,15/02/2022 0:00,14/02/2022 0:00,09/02/2022 0:00,04/02/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Food & Nutrition""",,2022-02,2022,2022-Q1,Closed,03/03/2022 11:11,Blue
4,Singleton,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,14/02/2022 0:00,14/02/2022 0:00,04/02/2022 0:00,31/01/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""","""Curriculum & Programs""",2022-02,2022,2022-Q1,Closed,10/03/2022 13:42,Blue
20,Streaky Bay,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,14/02/2022 0:00,14/02/2022 0:00,04/02/2022 0:00,01/02/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Environment & Facilities""","""Environment & Facilities""",2022-02,2022,2022-Q1,Closed,03/03/2022 11:56,Purple
23,Halls Creek,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,14/02/2022 0:00,14/02/2022 0:00,04/02/2022 0:00,01/02/2022 0:00,"""Campus Directors & Educators""",,2022-02,2022,2022-Q1,Pending,14/02/2022 20:50,Green
23,Colac,7,Neutral,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,2. Disagree,14/02/2022 0:00,14/02/2022 0:00,11/02/2022 0:00,09/02/2022 0:00,"""Campus Directors & Educators"",""Head Office Interactions""",,2022-02,2022,2022-Q1,None,,Green
11,Central Coast,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,14/02/2022 0:00,14/02/2022 0:00,11/02/2022 0:00,10/02/2022 0:00,"""Campus Directors & Educators"",""Head Office Interactions""",,2022-02,2022,2022-Q1,Closed,17/03/2022 15:21,Blue
21,Wollongong,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,2. Disagree,14/02/2022 0:00,14/02/2022 0:00,11/02/2022 0:00,09/02/2022 0:00,"""Head Office Interactions""",,2022-02,2022,2022-Q1,Pending,14/02/2022 20:51,Orange
13,Calliope,10,Promoter,3. Neither Agree nor Disagree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,14/02/2022 0:00,14/02/2022 0:00,11/02/2022 0:00,09/02/2022 0:00,"""Cleanliness & Hygiene"",""Curriculum & Programs"",""Environment & Facilities"",""Food & Nutrition""",,2022-02,2022,2022-Q1,Closed,17/03/2022 9:36,Green
5,Ararat,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,14/02/2022 0:00,14/02/2022 0:00,11/02/2022 0:00,09/02/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities"",""Head Office Interactions""",,2022-02,2022,2022-Q1,Pending,14/02/2022 20:51,Red
1,Glass House Mountains,9,Promoter,,,,,,,,,14/02/2022 0:00,14/02/2022 0:00,09/02/2022 0:00,02/02/2022 0:00,"""Environment & Facilities""",,2022-02,2022,2022-Q1,None,,Yellow
11,Nelson Bay,10,Promoter,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,14/02/2022 0:00,14/02/2022 0:00,04/02/2022 0:00,01/02/2022 0:00,"""App & Child Updates"",""Campus Directors & Educators"",""Communication"",""Curriculum & Programs""",,2022-02,2022,2022-Q1,Closed,08/03/2022 10:33,Blue
2,Goulburn,2,Detractor,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,14/02/2022 0:00,14/02/2022 0:00,04/02/2022 0:00,01/02/2022 0:00,"""App & Child Updates"",""Communication"",""Head Office Interactions""",,2022-02,2022,2022-Q1,Closed,28/02/2022 13:08,Red
9,Beerwah,9,Promoter,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,14/02/2022 0:00,14/02/2022 0:00,04/02/2022 0:00,02/02/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""",,2022-02,2022,2022-Q1,None,,Blue
23,Kyneton,9,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,4. Agree,13/02/2022 0:00,07/02/2022 0:00,11/02/2022 0:00,09/02/2022 0:00,"""Curriculum & Programs"",""Head Office Interactions""",,2022-02,2022,2022-Q1,None,,Green
8,Bli Bli,8,Neutral,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,13/02/2022 0:00,07/02/2022 0:00,02/02/2022 0:00,20/01/2022 0:00,"""Campus Directors & Educators""",,2022-02,2022,2022-Q1,Closed,14/03/2022 15:53,Green
16,Ouyen,7,Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,12/02/2022 0:00,07/02/2022 0:00,11/02/2022 0:00,08/02/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs""","""Curriculum & Programs""",2022-02,2022,2022-Q1,Closed,13/02/2022 18:06,Green
1,Katherine,9,Promoter,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,12/02/2022 0:00,07/02/2022 0:00,09/02/2022 0:00,03/02/2022 0:00,"""Campus Directors & Educators"",""Communication""",,2022-02,2022,2022-Q1,Closed,05/03/2022 13:56,Yellow
17,Tom Price,10,Promoter,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,2. Disagree,12/02/2022 0:00,07/02/2022 0:00,09/02/2022 0:00,08/02/2022 0:00,"""Campus Directors & Educators""",,2022-02,2022,2022-Q1,Closed,03/03/2022 17:53,Green
7,Rockhampton,9,Promoter,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,12/02/2022 0:00,07/02/2022 0:00,09/02/2022 0:00,07/02/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Environment & Facilities""",,2022-02,2022,2022-Q1,None,,Blue
23,Colac,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,12/02/2022 0:00,07/02/2022 0:00,09/02/2022 0:00,07/02/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""",,2022-02,2022,2022-Q1,Closed,13/05/2022 11:52,Green
22,Kurri Kurri,10,Promoter,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,3. Neither Agree nor Disagree,12/02/2022 0:00,07/02/2022 0:00,09/02/2022 0:00,02/02/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""",,2022-02,2022,2022-Q1,Closed,25/03/2022 15:47,Green
14,Mackay,5,Detractor,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,2. Disagree,1. Strongly Disagree,12/02/2022 0:00,07/02/2022 0:00,09/02/2022 0:00,07/02/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Environment & Facilities"",""Food & Nutrition""","""Accounts & Billing Interactions"",""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs""",2022-02,2022,2022-Q1,Pending,12/02/2022 20:49,Purple
20,Coffs Harbour,6,Detractor,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,12/02/2022 0:00,07/02/2022 0:00,09/02/2022 0:00,03/02/2022 0:00,"""App & Child Updates"",""Campus Directors & Educators"",""Environment & Facilities"",""Head Office Interactions"",""Staff Retention & Turnover""",,2022-02,2022,2022-Q1,In Progress,10/03/2022 10:33,Purple
21,Moranbah,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,12/02/2022 0:00,07/02/2022 0:00,09/02/2022 0:00,07/02/2022 0:00,"""Environment & Facilities"",""Food & Nutrition""",,2022-02,2022,2022-Q1,Closed,28/02/2022 15:59,Orange
20,Forster,7,Neutral,,,,,,,,,11/02/2022 0:00,07/02/2022 0:00,09/02/2022 0:00,08/02/2022 0:00,"""Cleanliness & Hygiene"",""Environment & Facilities""",,2022-02,2022,2022-Q1,Closed,14/04/2022 14:35,Purple
11,Mount Barker,10,Promoter,,,,,,,,,11/02/2022 0:00,07/02/2022 0:00,11/02/2022 0:00,07/02/2022 0:00,"""Campus Directors & Educators"",""Communication""",,2022-02,2022,2022-Q1,Pending,11/02/2022 21:02,Blue
24,Yamba,10,Promoter,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,4. Agree,11/02/2022 0:00,07/02/2022 0:00,11/02/2022 0:00,08/02/2022 0:00,"""Curriculum & Programs"",""Environment & Facilities"",""Head Office Interactions""","""Campus Directors & Educators"",""Environment & Facilities""",2022-02,2022,2022-Q1,Closed,20/04/2022 16:23,Purple
12,Yanchep,10,Promoter,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,11/02/2022 0:00,07/02/2022 0:00,11/02/2022 0:00,08/02/2022 0:00,"""Campus Directors & Educators""","""Head Office Interactions""",2022-02,2022,2022-Q1,Pending,11/02/2022 21:02,Blue
9,Darwin,2,Detractor,2. Disagree,3. Neither Agree nor Disagree,5. Strongly Agree,3. Neither Agree nor Disagree,1. Strongly Disagree,3. Neither Agree nor Disagree,2. Disagree,3. Neither Agree nor Disagree,11/02/2022 0:00,07/02/2022 0:00,11/02/2022 0:00,09/02/2022 0:00,"""Curriculum & Programs""",,2022-02,2022,2022-Q1,Closed,22/04/2022 12:31,Blue
24,Mount Isa,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,11/02/2022 0:00,07/02/2022 0:00,11/02/2022 0:00,09/02/2022 0:00,"""Campus Directors & Educators"",""Communication"",""Curriculum & Programs""",,2022-02,2022,2022-Q1,Closed,28/02/2022 14:01,Purple
2,Cobram,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,11/02/2022 0:00,07/02/2022 0:00,11/02/2022 0:00,09/02/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities"",""Head Office Interactions""",,2022-02,2022,2022-Q1,Closed,28/02/2022 14:08,Red
